,ID,N_VICTIMAS,FECHA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,pos x,pos y,VICTIMA,ACUSADO
462,2019-0045,1,2019-06-03,7,DEL LIBERTADOR AV. Y REPUBLICA DE LA INDIA,AVENIDA,14,-58.41316147,-34.57579669,MOTO,CARGAS
463,2019-0046,1,2019-06-04,9,GRAL PAZ Y CABILDO,GRAL PAZ,13,-58.47617802,-34.53825652,MOTO,AUTO
464,2019-0047,1,2019-06-06,10,CASEROS AV. 1700,AVENIDA,4,-58.38641783,-34.63330028,PEATON,CARGAS
465,2019-0048,1,2019-06-07,7,AVELLANEDA AV. 1548,AVENIDA,6,-58.45322169,-34.62038137,MOTO,CARGAS
466,2019-0049,1,2019-06-08,9,CIUDAD DE LA PAZ Y MENDOZA,CALLE,13,-58.45849057,-34.56166498,PEATON,CARGAS
467,2019-0050,1,2019-06-08,23,"SALGUERO, JERONIMO Y HONDURAS AV.",AVENIDA,14,-58.41829559,-34.59411677,MOTO,CARGAS
468,2019-0051,1,2019-06-11,10,"FILIBERTO, JUAN DE DIOS Y OLAVARRIA",CALLE,4,-58.36376488,-34.63832093,MOTO,AUTO
469,2019-0053,1,2019-06-14,17,ASTURIAS AV. Y CASTAÑARES AV.,AVENIDA,8,-58.46442668,-34.66004784,AUTO,AUTO
470,2019-0054,1,2019-06-20,3,GANDARA 2976,CALLE,15,-58.48222035,-34.58428769,MOTO,OBJETO FIJO
471,2019-0055,1,2019-06-20,19,"GUEVARA, TRINIDAD Y MADERO, EDUARDO AV.",AVENIDA,1,-58.36819005,-34.60283208,MOTO,PASAJEROS
472,2019-0056,1,2019-06-29,17,BOYACA AV. 305,AVENIDA,7,-58.45877601,-34.62330939,PEATON,AUTO
473,2019-0057,1,2019-07-05,19,ARTILLEROS Y LA PAMPA,CALLE,13,-58.44196498,-34.55760517,PEATON,AUTO
474,2019-0058,1,2019-07-10,9,AUTOPISTA PERITO MORENO ALTURA PASO A NIVEL DE IRIGOYEN,AUTOPISTA,10,-58.50622631,-34.63627822,MOTO,PASAJEROS
475,2019-0059,1,2019-07-13,22,15 DE NOVIEMBRE DE 1889 Y SANTIAGO DEL ESTERO,CALLE,1,-58.3841088,-34.63099197,MOTO,PASAJEROS
476,2019-0060,1,2019-07-17,11,"ACOSTA, MARIANO AV. Y FALCON, RAMON L., CNEL.",AVENIDA,10,-58.48100602,-34.63504312,PEATON,AUTO
477,2019-0061,1,2019-07-17,18,11 DE SEPTIEMBRE DE 1888 Y MENDOZA,CALLE,13,-58.45200171,-34.5578132,PEATON,PASAJEROS
